Index,OriginalLabel,FaultDetected,ValidPatch,ProposedPatch
4,Opening;during:;OpenDoor = 1;,1,1,OpenDoor = doorOpen;
5,Opened;during:;OpenDoor = 0;,1,1,OpenDoor = 1;
6,Closing;during:;OpenDoor = 1;,1,1,OpenDoor = 0;
5,Opened;during:;OpenDoor = 0;,1,1,OpenDoor = 1;
5,Opened;during:;OpenDoor = 0;,1,1,OpenDoor = 1;
4,Opening;during:;OpenDoor = 1;,1,1,OpenDoor = doorOpen;
5,Opened;during:;OpenDoor = 0;,1,1,OpenDoor = 1;
4,Opening;during:;OpenDoor = 1;,1,1,OpenDoor = doorOpen;
5,Opened;during:;OpenDoor = 0;,1,1,OpenDoor = 1;
5,Opened;during:;OpenDoor = 0;,1,1,OpenDoor = 1;
5,Opened;during:;OpenDoor = 0;,1,1,OpenDoor = 1;
5,Opened;during:;OpenDoor = 0;,1,1,OpenDoor = 1;
5,Opened;during:;OpenDoor = 0;,1,1,OpenDoor = 1;
6,Closing;during:;OpenDoor = 1;,1,1,OpenDoor = 0;
4,Opening;during:;OpenDoor = 1;,1,1,OpenDoor = doorOpen;
4,Opening;during:;OpenDoor = 1;,1,1,OpenDoor = doorOpen;
4,Opening;during:;OpenDoor = 1;,1,1,OpenDoor = doorOpen;
6,Closing;during:;OpenDoor = 1;,1,1,OpenDoor = 0;
6,Closing;during:;OpenDoor = 1;,1,1,OpenDoor = 0;
6,Closing;during:;OpenDoor = 1;,1,1,OpenDoor = 0;
6,Closing;during:;OpenDoor = 1;,1,1,OpenDoor = 0;
5,Opened;during:;OpenDoor = 0;,1,1,OpenDoor = 1;
4,Opening;during:;OpenDoor = 1;,1,1,OpenDoor = doorOpen;
4,Opening;during:;OpenDoor = 1;,1,1,OpenDoor = doorOpen;
5,Opened;during:;OpenDoor = 0;,1,1,OpenDoor = 1;
4,Opening;during:;OpenDoor = 1;,1,1,OpenDoor = doorOpen;
6,Closing;during:;OpenDoor = 1;,1,1,OpenDoor = 0;
4,Opening;during:;OpenDoor = 1;,1,1,OpenDoor = doorOpen;
6,Closing;during:;OpenDoor = 1;,1,1,OpenDoor = 0;
5,Opened;during:;OpenDoor = 0;,1,1,OpenDoor = 1;
6,Closing;during:;OpenDoor = 1;,1,1,OpenDoor = 0;
5,Opened;during:;OpenDoor = 0;,1,1,OpenDoor = 1;
5,Opened;during:;OpenDoor = 0;,1,1,OpenDoor = 1;
6,Closing;during:;OpenDoor = 1;,1,1,OpenDoor = 0;
5,Opened;during:;OpenDoor = 0;,1,1,OpenDoor = 1;
6,Closing;during:;OpenDoor = 1;,1,1,OpenDoor = 0;
6,Closing;during:;OpenDoor = 1;,1,1,OpenDoor = 0;
4,Opening;during:;OpenDoor = 1;,1,1,OpenDoor = doorOpen && !Obstacle;
4,Opening;during:;OpenDoor = 1;,1,1,OpenDoor = doorOpen && !Obstacle;
5,Opened;during:;OpenDoor = 0;,1,1,OpenDoor = 1;
6,Closing;during:;OpenDoor = 1;,1,1,OpenDoor = 0;
6,Closing;during:;OpenDoor = 1;,1,1,OpenDoor = 0;
5,Opened;during:;OpenDoor = 0;,1,1,OpenDoor = 1;
4,Opening;during:;OpenDoor = 1;,1,1,OpenDoor = doorOpen;
6,Closing;during:;OpenDoor = 1;,1,1,OpenDoor = 0;
4,Opening;during:;OpenDoor = 1;,1,1,OpenDoor = doorOpen;
5,Opened;during:;OpenDoor = 0;,1,1,OpenDoor = 1;
