Index,OriginalLabel,FaultDetected,ValidPatch,ProposedPatch
4,Opening;during:;OpenDoor = 1;,1,0,[Skipped: invalid variable]
5,Opened;during:;OpenDoor = 0;,1,0,[Skipped: invalid variable]
6,Closing;during:;OpenDoor = 1;,1,0,[Skipped: invalid variable]
5,Opened;during:;OpenDoor = 0;,1,0,[Skipped: invalid variable]
4,Opening;during:;OpenDoor = 1;,1,0,[Skipped: invalid variable]
4,Opening;during:;OpenDoor = 1;,1,0,[Skipped: invalid variable]
6,Closing;during:;OpenDoor = 1;,1,0,[Skipped: invalid variable]
6,Closing;during:;OpenDoor = 1;,1,0,[Skipped: invalid variable]
5,Opened;during:;OpenDoor = 0;,1,0,[Skipped: invalid variable]
4,Opening;during:;OpenDoor = 1;,1,0,[Skipped: invalid variable]
