Index,OriginalLabel,FaultDetected,ValidPatch,ProposedPatch
2,ShouldBeOpened,0,0,
1,ShouldBeClosed;during:;OpenDoor = 0;,1,1,during:;OpenDoor = 1;
1,ShouldBeClosed;during:;OpenDoor = 0;,1,1,during:;OpenDoor = 1;
1,ShouldBeClosed;during:;OpenDoor = 0;,1,1,during:;OpenDoor = 1;
1,ShouldBeClosed;during:;OpenDoor = 0;,1,1,during:;OpenDoor = 1;
4,Opening;during:;OpenDoor = 1;,1,1,during:;OpenDoor = 0;
4,Opening;during:;OpenDoor = 1;,1,1,during:;OpenDoor = 0;
1,ShouldBeClosed;during:;OpenDoor = 0;,1,1,during:;OpenDoor = 1;
1,ShouldBeClosed;during:;OpenDoor = 0;,1,1,during:;OpenDoor = 1;
5,Opened;during:;OpenDoor = 0;,1,1,during:;OpenDoor = 1;
5,Opened;during:;OpenDoor = 0;,1,1,during:;OpenDoor = 1;
5,Opened;during:;OpenDoor = 0;,1,1,during:;OpenDoor = 1;
5,Opened;during:;OpenDoor = 0;,1,1,during:;OpenDoor = 1;
5,Opened;during:;OpenDoor = 0;,1,1,during:;OpenDoor = 1;
5,Opened;during:;OpenDoor = 0;,1,1,during:;OpenDoor = 1;
5,Opened;during:;OpenDoor = 0;,1,1,during:;OpenDoor = 1;
