Index,OriginalLabel,FaultDetected,ValidPatch,ProposedPatch
2,ShouldBeOpened,1,1,OpenDoor = (doorClosed == 1) && (Obstacle == 0) && (person_in_1 == 1 || person_in_2 == 1 || admin == 1);
4,Opening;during:;OpenDoor = 1;,1,1,during:;OpenDoor = 0;
5,Opened;during:;OpenDoor = 0;,1,1,during:;OpenDoor = 1;
5,Opened;during:;OpenDoor = 0;,1,1,during:;OpenDoor = 1;
5,Opened;during:;OpenDoor = 0;,1,1,during:;OpenDoor = 1;
5,Opened;during:;OpenDoor = 0;,1,1,during:;OpenDoor = 1;
5,Opened;during:;OpenDoor = 0;,1,1,during:;OpenDoor = 1;
5,Opened;during:;OpenDoor = 0;,1,1,during:;OpenDoor = 1;
5,Opened;during:;OpenDoor = 0;,1,1,during:;OpenDoor = 1;
5,Opened;during:;OpenDoor = 0;,1,1,during:;OpenDoor = 1;
5,Opened;during:;OpenDoor = 0;,1,1,during:;OpenDoor = 1;
5,Opened;during:;OpenDoor = 0;,1,1,during:;OpenDoor = 1;
5,Opened;during:;OpenDoor = 0;,1,1,during:;OpenDoor = 1;
