Index,OriginalLabel,FaultDetected,ValidPatch,ProposedPatch
4,CLOSE_HOT;during:;COLD = REF-TEMPERATURE;,1,1,CLOSE_HOT;during:;COLD = 0;
4,CLOSE_HOT;during:;COLD = REF-TEMPERATURE;,1,1,CLOSE_HOT;during:;COLD = TEMPERATURE - REF;
4,CLOSE_HOT;during:;COLD = REF-TEMPERATURE;,1,1,CLOSE_HOT;during:;COLD = TEMPERATURE - REF;
4,CLOSE_HOT;during:;COLD = REF-TEMPERATURE;,1,1,CLOSE_HOT;during:;COLD = TEMPERATURE - REF;
4,CLOSE_HOT;during:;COLD = REF-TEMPERATURE;,1,1,CLOSE_HOT;during:;COLD = TEMPERATURE - REF;
4,CLOSE_HOT;during:;COLD = REF-TEMPERATURE;,1,1,CLOSE_HOT;during:;COLD = TEMPERATURE - REF;
4,CLOSE_HOT;during:;COLD = REF-TEMPERATURE;,1,1,CLOSE_HOT;during:;COLD = TEMPERATURE - REF;
4,CLOSE_HOT;during:;COLD = REF-TEMPERATURE;,1,1,CLOSE_HOT;during:;COLD = 0;
4,CLOSE_HOT;during:;COLD = REF-TEMPERATURE;,1,1,CLOSE_HOT;during:;COLD = TEMPERATURE - REF;
4,CLOSE_HOT;during:;COLD = REF-TEMPERATURE;,1,1,CLOSE_HOT;during:;COLD = TEMPERATURE - REF;
4,CLOSE_HOT;during:;COLD = REF-TEMPERATURE;,1,1,CLOSE_HOT;during:;COLD = TEMPERATURE - REF;
4,CLOSE_HOT;during:;COLD = REF-TEMPERATURE;,1,1,CLOSE_HOT;during:;COLD = TEMPERATURE - REF;
4,CLOSE_HOT;during:;COLD = REF-TEMPERATURE;,1,1,CLOSE_HOT;during:;COLD = REF;
