Index,OriginalLabel,FaultDetected,ValidPatch,ProposedPatch
1,,0,0,[Skipped: Initial Transition]
3,[admin == true],1,1,[admin == false]
4,,0,0,[Skipped: Initial Transition]
1,,0,0,[Skipped: Initial Transition]
3,[admin == true],1,1,[admin == 1]
3,[admin == true],0,0,
5,[doorOpen == true],1,1,[doorOpen == false]
9,[person_in_1 ==true && person_in_2 == true],1,1,[person_in_1 == true || person_in_2 == true]
3,[admin == true],0,0,
4,,0,0,[Skipped: Initial Transition]
5,[doorOpen == true],1,1,[doorOpen == false]
